dialect	pos	standard
쇠시랑	명사	쇠스랑
쇡경	명사	석경
쇡이다	동사	속이다
수끼락	명사	숟가락
수리탄	명사	수류탄
수실	명사	술
수지비	명사	수제비
숫닥	명사	수탉
숭구다	동사	심다
숭내	명사	흉내
쉐다	동사	쇠다
쉬씰다	동사	쉬슬다
쉼기다	동사	숨기다
스숙밥	명사	조밥
스숙쌀	명사	좁쌀
슫달그믐날	명사	섣달그믐
슬엄	명사	설움
슬움	명사	설움
슬푸다	형용사	슬프다
시다	형용사	세다
시다	동사	쉬다
시루및	명사	시룻밑
시루번	명사	시룻번
시므다	동사	심다
시숫비누	명사	세숫비누
시엄	명사	시험
시하리다	동사	헤아리다
식경	명사	석경
신끼다	동사	신기다
실궘	명사	시렁
싸게	부사	빨리
쌍대이	명사	쌍둥이
쌍댕이	명사	쌍둥이
쌍두이	명사	쌍둥이
쌔이다	동사	싸이다
써다	동사	켜다
쎄다	동사	세다
쎅히다	동사	썩히다
쏘나기	명사	소나기
쐬	명사	쇠
쑤수	명사	수수
쓰께또	명사	썰매
쓰래	명사	쓸개
쓰봉	명사	바지
씀바기	명사	씀바귀
씨라리다	형용사	쓰라리다
씨러지다	동사	쓰러지다
씨리다	형용사	쓰리다
아	명사	아이
아가위	명사	아그배
아감지	명사	아가미
아구배	명사	아그배
아매	부사	아마
아무럼	감탄사	아무렴
아숩다	형용사	아쉽다
아옵	수·관	아홉
아은	수·관	아흔
아주가리	명사	아주까리
아지라이	명사	아지랑이
아지랑미	명사	아지랑이
아지래이	명사	아지랑이
아츰	명사	아침
아칙	명사	아침
아침북새	명사	아침노을
안개비	명사	는개
알	명사	아래
암개	명사	암캐
암닥	명사	암탉
암쇄	명사	암쇠
암쾡이	명사	암고양이
앞장갱이	명사	앞정강이
애기씨	명사	아기씨
애꼬	명사	애꾸
애끼다	동사	아끼다
애룹다	형용사	어렵다
애옹애옹	부사	야옹야옹
앤경	명사	안경
앳디다	형용사	앳되다
양복주머니	명사	호주머니
양석	명사	양식
얘	감탄사	예
어럽다	형용사	어렵다
어른애	명사	어린애
어리미	명사	어레미
어린아	명사	어린애
어립다	형용사	어렵다
어마이	명사	어머니
어무니	명사	어머니
어제께	명사	어저께
어제께	부사	어저께
어째튼	부사	어쨌든
어프러지다	동사	엎드러지다
언체이	명사	언청이
얼게빗	명사	얼레빗
얼렁	부사	얼른
얼매나	부사	얼마나
엄니	명사	어머니
엄지손고락	명사	엄지손가락
엎데리다	동사	엎드리다
엎디리다	동사	엎드리다
에럽다	형용사	어렵다
에롭다	형용사	외롭다
에룹다	형용사	어렵다
에우다	동사	외다
엔쪽	명사	왼쪽
엣날	명사	옛날
여수	명사	여우
역부러	부사	일부러
연감개	명사	얼레
연자새	명사	얼레
열세	명사	열쇠
염새이	명사	염소
염생이	명사	염소
엿지름	명사	엿기름
예펜네	명사	여편네
오굼쟁이	명사	오금
오락지	명사	오라기
오시래	명사	벽장
오양깐	명사	외양간
오지어	명사	오징어
올르다	동사	옮다
올배미	명사	올빼미
옷구룸	명사	옷고름
왜	명사	오이
외눈백이	명사	애꾸
외할매	명사	외할머니
외할매	감탄사	외할머니
요껍데기	명사	욧잇
요대기	명사	요때기
요지음	명사	요즈음
우러이	명사	우렁이
우섭다	형용사	우습다
울구다	동사	우리다
웂다	형용사	없다
웂애다	동사	없애다
웃마실	명사	윗마을
원수이	명사	원숭이
원싱이	명사	원숭이
유리	명사	우박
을마	명사	얼마
읎다	형용사	없다
이깝	명사	미끼
이와이면	부사	이왕이면
이으다	동사	잇다
이짝저짝	명사	이쪽저쪽
일부로	부사	일부러
입설	명사	입술
입솔	명사	입술
잇날	명사	옛날
잎사구	명사	잎사귀
잎사기	명사	잎사귀
자래	명사	자라
자인	명사	장인
잔내비	명사	원숭이
잡하상	명사	잡화상
잡하점	명사	잡화점
장개	명사	장가
장갱이	명사	정강이
장닥	명사	장닭
장아치	명사	장아찌
재집	명사	기와집
재치기	명사	재채기
잽히다	동사	잡히다
저	명사	겨
저구리	명사	저고리
저드랑이	명사	겨드랑이
저분	명사	젓가락
적세	명사	석쇠
전아	명사	전화
절	명사	겨울
점재이	명사	점쟁이
접바지	명사	겹바지
접이불	명사	겹이불
접치다	동사	겹치다
정재	명사	정주
정지	명사	부엌
제	명사	겨
제우	부사	겨우
제절로	부사	저절로
젤이다	동사	절이다
조기	대명사	저기
조래이	명사	조리
조랭이	명사	조리
조약	명사	자갈
조이	명사	종이
조히	명사	종이
졸움	명사	졸음
종구래기	명사	종구라기
좸좸	감탄사	죔죔
좸좸	명사	죔죔
주데이	명사	주둥이
주두아리	명사	주둥이
주딩이	명사	주둥이
주룸살	명사	주름살
줄구다	동사	줄이다
중태	명사	중고기
쥐인	명사	주인
쥑이다	동사	죽이다
즈녁	명사	저녁
즉다	형용사	작다
지	명사	쥐
지끔	명사	지금
지끔	부사	지금
지느레미	명사	지느러미
지달리다	동사	기다리다
지대다	동사	기대다
지동	명사	지동
지러기	명사	기러기
지르다	동사	기르다
지슴매다	동사	김매다
지시락	명사	기스락
지시락물	명사	낙숫물
지와	명사	기와
지와집	명사	기와집
지장	명사	기장
지저귀	명사	기저귀
지절로	부사	저절로
지침	명사	기침
지파이	명사	지팡이
질	명사	길
질겅이	명사	질경이
질겨이	명사	질경이
질깅이	명사	질경이
질들이다	동사	길들이다
질르다	동사	기르다
짐	명사	김
짐성	명사	짐승
짐장	명사	간장
집	명사	짚
짚석	명사	짚신
짚시기	명사	짚신
짝다	형용사	작다
짝대기	명사	작대기
짬자리	명사	잠자리
쩍다	형용사	작다
쪄입다	동사	껴입다
쪼롱박	명사	조롱박
쪼매	명사	조금
쪼매	부사	조금
쪽지	명사	죽지
쪽지비	명사	족제비
쫍다	형용사	좁다
찌끄레기	명사	찌꺼기
찌다	동사	끼다
찌린내	명사	지린내
찌울다	동사	기울다
찌울어지다	동사	기울어지다
찐디기	명사	진드기
찝게	명사	집게
찡구다	동사	끼우다
찡기다	동사	끼이다
착	명사	책
참	명사	아침과 점심 또는 점심과 저녁 사이의 끼니
참낭구	명사	참나무
참위	명사	참외
참이	명사	참외
창꽃	명사	진달래
창사	명사	창자
채다보다	동사	쳐다보다
챙이	명사	키
처매물	명사	낙숫물
청테	명사	이끼
초마	명사	처마
초신	명사	짚신
추이	명사	추위
추자	명사	가래
췩이다	동사	축이다
칼치	명사	갈치
콩지룸	명사	콩기름
키다	동사	켜다
타래박	명사	두레박
토막	명사	목침
토시	명사	토수
톡수가리	명사	턱주가리
투가리	명사	뚝배기
퉁수	명사	퉁소
티검지	명사	티끌
팔부리	명사	담뱃대
팝씨	명사	파의 
페	명사	표
포두	명사	포도
풀솔	명사	풀비
풍데이	명사	풍뎅이
피마지	명사	피마자
하날	명사	하늘
하로살이	명사	하루살이
하매	부사	벌써
하아리	명사	항아리
학상	명사	학생
한갑잔체	명사	환갑잔치
한나	수사	하나
한나	명사	하나
한동	명사	외동
할매	명사	할머니
할아부	명사	할아비
항소	명사	황소
해여나	부사	행여나
해팔	부사	하필
